name,url,urlname,members,city,rating,query,lat,lon,country,past_events_count,organizer_count,primary_organizer,last_event_date,has_upcoming_events,events_url,leaders_url,days_since_last_event,in_pro_network,pro_network_misses,upcoming_events_count,source
PyData Bydgoszcz,https://www.meetup.com/pydata-bydgoszcz,pydata-bydgoszcz,872,Bydgoszcz,4.8,"Bydgoszcz, Polska",53.1219648,18.0002529,Polska,41,6,PyData Bydgoszcz,2026-07-24T04:00:00+02:00[Europe/Warsaw],True,https://www.meetup.com/pydata-bydgoszcz/events/,https://www.meetup.com/pydata-bydgoszcz/members/?op=leaders,23,True,0,0,
PyData Munich,https://www.meetup.com/PyData-Munchen,PyData-Munchen,3717,München,4.5,"München, Deutschland",48.1371079,11.5753822,Deutschland,70,,Saloua Litayem,2026-08-13T18:30:00+02:00[Europe/Berlin],True,https://www.meetup.com/PyData-Munchen/events/,https://www.meetup.com/PyData-Munchen/members/?op=leaders,2,False,0,0,
PyData Prague,https://www.meetup.com/PyData-Prague,PyData-Prague,2393,Prague,4.7,"Prague, Česko",50.0850112,14.4265172,Česko,47,7,Ondřej Kokeš,2026-08-10T17:00:00+02:00[Europe/Prague],True,https://www.meetup.com/PyData-Prague/events/,https://www.meetup.com/PyData-Prague/members/?op=leaders,5,True,0,0,
PyData Milano,https://www.meetup.com/pydata-milano,pydata-milano,1519,Milano,4.7,"Milano, Italia",45.4641943,9.1896346,Italia,28,8,Pietro Peterlongo,2026-07-24T04:00:00+02:00[Europe/Rome],True,https://www.meetup.com/pydata-milano/events/,https://www.meetup.com/pydata-milano/members/?op=leaders,23,True,0,0,
PyData Warsaw,https://www.meetup.com/PyData-Warsaw,PyData-Warsaw,4596,Warsaw,4.6,"Warsaw, Polska",52.2333742,21.0711489,Polska,61,7,"NumFOCUS, Inc.",2026-07-24T04:00:00+02:00[Europe/Warsaw],True,https://www.meetup.com/PyData-Warsaw/events/,https://www.meetup.com/PyData-Warsaw/members/?op=leaders,23,True,0,0,
PyData Venice,https://www.meetup.com/pydata-venice,pydata-venice,1386,Venezia,4.5,"Venezia, Italia",45.4371908,12.3345898,Italia,31,4,Fabio Lamanna,2026-07-24T04:00:00+02:00[Europe/Rome],True,https://www.meetup.com/pydata-venice/events/,https://www.meetup.com/pydata-venice/members/?op=leaders,23,True,0,3,
PyData Natal,https://www.meetup.com/pydata-natal,pydata-natal,632,Natal,4.9,"Natal, Brasil",-5.805398,-35.2080905,Brasil,9,6,Mariana Queiroz,2026-07-24T04:00:00-03:00[America/Fortaleza],True,https://www.meetup.com/pydata-natal/events/,https://www.meetup.com/pydata-natal/members/?op=leaders,22,True,0,0,
PyData Slovakia & Bratislava,https://www.meetup.com/pydata-slovakia-bratislava,pydata-slovakia-bratislava,328,Bratislava,4.7,"Bratislava, Slovensko",48.1559178,17.1313541,Slovensko,42,4,Radovan Kavicky,2026-07-24T04:00:00+02:00[Europe/Bratislava],True,https://www.meetup.com/pydata-slovakia-bratislava/events/,https://www.meetup.com/pydata-slovakia-bratislava/members/?op=leaders,23,True,0,0,
PyData Ljubljana Meetup,https://www.meetup.com/PyData-Slovenia-Meetup,PyData-Slovenia-Meetup,720,Ljubljana,4.6,"Ljubljana, Slovenija",46.0500268,14.5069289,Slovenija,22,,,2026-07-24T04:00:00+02:00[Europe/Ljubljana],True,https://www.meetup.com/PyData-Slovenia-Meetup/events/,https://www.meetup.com/PyData-Slovenia-Meetup/members/?op=leaders,23,False,0,0,
PyData Roma Capitale,https://www.meetup.com/pydata-roma-capitale,pydata-roma-capitale,321,Roma,4.8,"Roma, Italia",41.8933203,12.4829321,Italia,14,8,Egon Ferri,2026-07-24T04:00:00+02:00[Europe/Rome],True,https://www.meetup.com/pydata-roma-capitale/events/,https://www.meetup.com/pydata-roma-capitale/members/?op=leaders,23,True,0,0,
